Sheepmount_x,Sheepmount_y,Bothcherby_x,Bothcherby_y,Denton_Holme_x,Denton_Holme_y,Building_1_x,Building_1_y,water_mark3_x,water_mark3_y,water_mark4_x,water_mark4_y,water_mark5_x,water_mark5_y,water_mark6_x,water_mark6_y,water_mark7_x,water_mark7_y,bus_dep_x,bus_dep_y,substation_x,substation_y,pallett_yard_x,pallett_yard_y,brown_bros_x,brown_bros_y,water_mark1_x,water_mark1_y,water_mark2_x,water_mark2_y
3.5,3.1312,3.5,1.3999,3.5,1.2045,31.6417202753713,1.9159076962608,34.1673561727023,3.34048563192992,35.2872958541182,4.01257430751217,34.1432345512592,2.60783468576965,34.3212109994233,2.13245472441725,33.6351442136075,2.59759353885355,29.3907714590612,1.69366882498221,35.0620470351166,0.538121930880823,32.3234845926406,0.872984164992203,32.1532955774738,1.86458797327394,33.6483028450525,1.43584962871773,27.3331454570684,1.61693678178884
3.75,3.2053,3.75,1.4075,3.75,1.2528,33.6713296201913,2.14513914835842,36.4616535387349,3.6561908374216,38.2426345784804,4.26331792957447,36.061921396656,2.90316364597323,36.0465281496819,2.38079987778984,35.5429267707578,2.88050233870149,32.8161203403043,1.80018989398394,36.3148012352657,0.62068841979374,34.802103980357,0.946373744735639,34.9545621380846,2.01639198218263,34.9790108552408,1.63544739030882,30.2877766985328,1.53735570048274
4,3.2577,4,1.4184,4,1.3135,35.2395382570763,2.38249491369705,40.0897258880984,3.56585567827743,41.4787590153221,4.04581716799555,39.0201767702543,3.07912460528934,39.2872824075622,2.40642967457431,38.1892668151173,3.09547429364122,34.9225291664246,2.00720423408788,39.0999804388961,0.635149732222577,38.36788773227,1.02701849646807,37.0048234171174,2.21603563474387,36.5373912339479,1.82685222357949,32.1241630942035,1.35639907785414
4.25,3.2984,4.25,1.4321,4.25,1.3999,38.1470410091535,2.48695418349658,42.6845929654652,3.27927422946521,44.3335360550528,3.74179058565054,41.7788111426926,2.85507065099932,41.5564110566196,2.18887153107693,41.2768554164901,2.8886309803102,38.1254380817303,2.10426752960202,40.7874749956995,0.555081748703708,40.4245297870696,0.923159434688961,40.2440369074133,2.15456570155902,39.5604551851243,1.80611023404554,34.4759758995669,1.26944019085595
4.5,3.3333,4.5,1.4475,4.5,1.5162,40.7036854036676,2.27732728600937,45.4313624702194,2.98240004736868,46.8089270835232,3.39463384448475,44.0051605410055,2.58869490335136,43.750622701221,1.95771546864235,43.6065063523714,2.6230886156793,40.6077235129162,1.91622486730986,42.0987269445741,0.472684586210569,42.667852179169,0.835082408809909,42.3418247534203,1.94730512249443,41.4740151268015,1.62312564473579,37.0578707194344,1.15598102463356
4.75,3.3671,4.75,1.462,4.75,1.665,42.8146135221294,2.05005932773488,47.8034442978952,2.66609833119803,48.8293467195765,3.0021774544682,46.3052903478721,2.30992106157215,45.8625729452512,1.72716874991571,45.8606650520588,2.35843816413306,42.7270805786253,1.69184266543413,43.4103882731674,0.389132972910984,44.7499766444995,0.730856020604066,44.1374279350939,1.73318485523385,43.313583827493,1.42949604403301,38.8193540207556,0.970835919285458
5,3.4043,5,1.4769,5,1.8218,45.0745885561392,1.82728770039488,49.8098221929696,2.31137654924326,50.9984185346047,2.55833638814332,48.2259504101402,2.00690524351652,47.8965178254857,1.48425148768652,47.8863756742513,2.05225550396776,44.7716795443747,1.46591986282954,44.872405191174,0.306911930798909,46.6612312657421,0.613546916215461,45.9330311167674,1.51906458797327,45.0026274548623,1.23248050130732,40.0527514174219,0.783741672786445
5.25,3.4478,5.25,1.4927,5.25,1.9703,47.1219494360832,1.58578806683621,51.4989033451225,1.92368777505898,52.639633385874,2.12675947509632,49.9937579062531,1.68550494149254,49.6238253068437,1.22492154449548,49.4596856849311,1.76382098903729,46.5918283699542,1.2358388369866,45.9464718747696,0.216710549725997,48.4274792901257,0.497319282376529,47.3632631244034,1.27661469933185,46.3134919671112,1.04014289422113,41.2874969387581,0.586845062021423
5.5,3.4954,5.5,1.5099,5.5,2.094,48.9303596648513,1.34247091785026,53.8743402781651,1.62915198909834,54.2090546714929,1.77690699009409,51.0848454767342,1.37208609767805,51.2482263085747,0.965512634337428,51.0006063099599,1.42657662477688,48.2657799811016,0.993926557037838,46.910882756248,0.130271863956946,49.9690294915353,0.37186369309396,48.5255900731785,1.04721603563474,47.9265158748868,0.846766210301539,42.4390563341537,0.385007122205425
5.75,3.5428,5.75,1.5306,5.75,2.183,50.4490112177525,1.08581751343511,56.9147944453932,1.40186325383347,57.0643335691583,1.48398401455309,52.3996239674164,1.04064647891557,52.9152821960676,0.718353742535462,52.6246488028967,1.11435152635775,49.8659845739607,0.747808097407804,47.5796419804662,0.044948629439407,51.5254224521604,0.252653093366307,49.6473348181143,0.808215788171244,49.4648125791575,0.647926917728781,43.6058364919507,0.194456706506765
